;; okuri-ari entries.
;; okuri-nasi entries.
^( /⁽/
mathbfscrJ /𝓙/
mathbfscrK /𝓚/
mathbfscrL /𝓛/
mathbfscrM /𝓜/
mathbfscrN /𝓝/
mathbfscrO /𝓞/
mathbfscrP /𝓟/
mathbfscrQ /𝓠/
mathbfscrR /𝓡/
mathbfscrS /𝓢/
mathbfscrT /𝓣/
mathbfscrU /𝓤/
mathbfscrV /𝓥/
mathbfscrW /𝓦/
mathbfscrX /𝓧/
mathbfscrY /𝓨/
mathbfscrZ /𝓩/
mathbfscra /𝓪/
mathbfscrb /𝓫/
mathbfscrc /𝓬/
mathbfscrd /𝓭/
mathbfscre /𝓮/
mathbfscrf /𝓯/
mathbfscrg /𝓰/
mathbfscrh /𝓱/
mathbfscri /𝓲/
mathbfscrj /𝓳/
mathbfscrk /𝓴/
mathbfscrl /𝓵/
mathbfscrm /𝓶/
mathbfscrn /𝓷/
mathbfscro /𝓸/
mathbfscrp /𝓹/
mathbfscrq /𝓺/
mathbfscrr /𝓻/
mathbfscrs /𝓼/
mathbfscrt /𝓽/
mathbfscru /𝓾/
mathbfscrv /𝓿/
mathbfscrw /𝔀/
mathbfscrx /𝔁/
mathbfscry /𝔂/
mathbfscrz /𝔃/
mathbfsepsilons /𝛜/
mathbfsf0 /𝟬/
mathbfsf1 /𝟭/
mathbfsf2 /𝟮/
mathbfsf3 /𝟯/
mathbfsf4 /𝟰/
mathbfsf5 /𝟱/
mathbfsf6 /𝟲/
mathbfsf7 /𝟳/
mathbfsf8 /𝟴/
mathbfsf9 /𝟵/
mathbfsfA /𝗔/
mathbfsfAlpha /𝝖/
mathbfsfB /𝗕/
mathbfsfBeta /𝝗/
mathbfsfC /𝗖/
mathbfsfChi /𝝬/
mathbfsfD /𝗗/
mathbfsfDelta /𝝙/
mathbfsfE /𝗘/
mathbfsfEpsilon /𝝚/
mathbfsfEta /𝝜/
mathbfsfF /𝗙/
mathbfsfG /𝗚/
mathbfsfGamma /𝝘/
mathbfsfH /𝗛/
mathbfsfI /𝗜/
mathbfsfIota /𝝞/
mathbfsfJ /𝗝/
mathbfsfK /𝗞/
mathbfsfKappa /𝝟/
mathbfsfL /𝗟/
mathbfsfLambda /𝝠/
mathbfsfM /𝗠/
mathbfsfMu /𝝡/
mathbfsfN /𝗡/
